"filename", "language", "Markdown", "JSON", "JavaScript", "Ignore", "TypeScript", "YAML", "Dockerfile", "SQL", "comment", "blank", "total"
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/.circleci/config.yml", "YAML", 0, 0, 0, 0, 0, 51, 0, 0, 3, 9, 63
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/.circleci/images/primary/Dockerfile", "Dockerfile", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/.eslintignore", "Ignore", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/.eslintrc.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/__tests__/db/db.test.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 1, 2, 13
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/__tests__/db/tables/users.test.ts", "TypeScript", 0, 0, 0, 0, 201, 0, 0, 0, 1, 33, 235
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/__tests__/db/tables/users_blocks.test.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 1, 10, 103
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/__tests__/db/tables/users_friends.test.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 1, 10, 103
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/__tests__/db/tables/users_requests.test.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 1, 10, 103
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/commitlint.config.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/jest.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/package.json", "JSON", 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/src/db/create.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 65, 1, 7, 73
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/src/db/seed.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"/Users/yevgeniyskroznikov/Desktop/lxcacao-server/tsconfig.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"Total", "-", 1, 73, 41, 1, 487, 61, 2, 73, 9, 88, 836